"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop"
"165","Zimbabwe",3,NA,1,NA,NA,2,NA,0.2
"166","Angola",3,NA,NA,NA,NA,3,NA,0.09
"167","Antigua and Barbuda",3,NA,NA,NA,NA,3,NA,31
"168","CAR",3,NA,NA,NA,NA,3,NA,0.6
"169","Chad",3,1,NA,NA,NA,3,NA,0.2
"170","Djibouti",3,NA,NA,NA,NA,3,NA,3
"171","Liberia",3,NA,NA,NA,NA,3,NA,0.6
"172","Niger",3,NA,NA,NA,NA,3,NA,0.1
"173","St. Barth",3,NA,NA,NA,NA,3,NA,304
"174","Saint Lucia",3,NA,NA,NA,NA,3,NA,16
"175","Zambia",3,NA,NA,NA,NA,3,NA,0.2
"176","Gambia",2,NA,1,NA,NA,1,NA,0.8
"177","Sudan",2,NA,1,NA,NA,1,NA,0.05
"178","Nepal",2,NA,NA,NA,1,1,NA,0.07
"179","Bhutan",2,NA,NA,NA,NA,2,NA,3
"180","Dominica",2,NA,NA,NA,NA,2,NA,28
"181","Laos",2,2,NA,NA,NA,2,NA,0.3
"182","Mauritania",2,NA,NA,NA,NA,2,NA,0.4
"183","Myanmar",2,NA,NA,NA,NA,2,NA,0.04
"184","Nicaragua",2,NA,NA,NA,NA,2,NA,0.3
"185","Sint Maarten",2,NA,NA,NA,NA,2,NA,47
"186","Belize",1,NA,NA,NA,NA,1,NA,3
"187","Eritrea",1,NA,NA,NA,NA,1,NA,0.3
"188","Grenada",1,NA,NA,NA,NA,1,NA,9
"189","Vatican City",1,NA,NA,NA,NA,1,NA,1248
"190","Montserrat",1,NA,NA,NA,NA,1,NA,200
"191","Mozambique",1,NA,NA,NA,NA,1,NA,0.03
"192","Papua New Guinea",1,NA,NA,NA,NA,1,NA,0.1
"193","St. Vincent Grenadines",1,NA,NA,NA,NA,1,NA,9
"194","Somalia",1,NA,NA,NA,NA,1,NA,0.06
"195","Syria",1,NA,NA,NA,NA,1,NA,0.06
"196","Timor-Leste",1,NA,NA,NA,NA,1,NA,0.8
"197","Turks and Caicos",1,NA,NA,NA,NA,1,NA,26
"198","Total:",392336,13554,17147,640,103393,271796,12181,50.3
